Symbol,Name,Sector,Industry,Summary Quote
KCAPL,"KCAP Financial, Inc.",n/a,n/a,https://www.nasdaq.com/symbol/kcapl
KRNY,Kearny Financial,Finance,Savings Institutions,https://www.nasdaq.com/symbol/krny
KELYA,"Kelly Services, Inc.",Technology,Professional Services,https://www.nasdaq.com/symbol/kelya
KELYB,"Kelly Services, Inc.",Technology,Professional Services,https://www.nasdaq.com/symbol/kelyb
KMPH,"KemPharm, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kmph
KFFB,Kentucky First Federal Bancorp,Finance,Savings Institutions,https://www.nasdaq.com/symbol/kffb
KERX,"Keryx Biopharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kerx
KEQU,Kewaunee Scientific Corporation,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kequ
KTCC,Key Tronic Corporation,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/ktcc
KFRC,"Kforce, Inc.",Technology,Professional Services,https://www.nasdaq.com/symbol/kfrc
KE,"Kimball Electronics, Inc.",Technology,Electrical Products,https://www.nasdaq.com/symbol/ke
KBAL,"Kimball International, Inc.",Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/kbal
KIN,"Kindred Biosciences, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kin
KGJI,Kingold Jewelry Inc.,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/kgji
KINS,"Kingstone Companies, Inc",Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kins
KONE,Kingtone Wirelessinfo Solution Holding Ltd,Technology,EDP Services,https://www.nasdaq.com/symbol/kone
KNSL,"Kinsale Capital Group, Inc.",Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/knsl
KIRK,"Kirkland&#39;s, Inc.",Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/kirk
KTOV,Kitov Pharma Ltd.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ktov
KTOVW,Kitov Pharma Ltd.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ktovw
KLAC,KLA-Tencor Corporation,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/klac
KLXI,KLX Inc.,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/klxi
